Reference,Value,Manufacturer Part Number,Qty,JLCPCB C#,Website,Footprint,,
SW1,SSSS811101,SSSS811101,1,C109335,,wavenumber:SSSS811101,,
U5,TPS7A2033PDBVR,TPS7A2033PDBVR,1,C2862740,,wavenumber:SOT23-5,,
TP2,5V SMT Testpoint 1MM,SMT_TP-1MM,1,-,,wavenumber:SMT_TP-1MM,,
TP1,3.3V SMT Testpoint 1MM,SMT_TP-1MM,1,-,,wavenumber:SMT_TP-1MM,,
R18,10kΩ,ERJ-8ENF1002V,1,N/A,,wavenumber:R1206_0.70MM_HD,,
R4,12mΩ,RL1206FR-070R012L,1,N/A,,wavenumber:R1206_0.65MM_MD,,
R17,1kΩ,ERJ-3EKF1001V,1,C118155,,wavenumber:R0603_0.55MM_HD,,
"R12,R13,R14,R15,R16",470Ω,ERJ-3EKF4700V,5,C169259,,wavenumber:R0603_0.55MM_HD,,
"R8,R9,R10,R11,R20,R21,R24,R25",100Ω,ERJ-3EKF1000V,8,C193336,,wavenumber:R0603_0.55MM_HD,,
"R5,R6,R7",4.7kΩ,ERJ-3EKF4701V,3,C192166,,wavenumber:R0603_0.55MM_HD,,
R3,10kΩ,ERJ-3EKF1002V,1,C191124,,wavenumber:R0603_0.55MM_HD,,
R2,200Ω,ERJ-3EKF2000V,1,N/A,,wavenumber:R0603_0.55MM_HD,,
R1,52.3kΩ,ERJ-3EKF5232V,1,N/A,,wavenumber:R0603_0.55MM_HD,,
"R22,R23",0Ω,ERJ-1GE0R00C,2,N/A,,wavenumber:R0201_0.26MM_HD,,
R26,0.005,CSR2512B0R005F,1,N/A,,wavenumber:R2512_MD,,
"J1,J4",PZ254-2-02-S,PZ254-2-02-S,2,C3294460,,wavenumber:PZ254-2-02-S,,
"M1,M2,M3,M4",M3,M3,4,-,,wavenumber:M3,,
"D2,D6",APT2012YC,APT2012YCdef,2,C125091,,wavenumber:LED-0805-YELLOW,,
D3,APT2012SURCK,APT2012SURCK,1,C5875730,,wavenumber:LED-0805-RED,,
"D4,D5",APT2012CGCK,APT2012CGCK,2,C5875740,,wavenumber:LED-0805-GREEN,,
L2,22 uH 7A,DO5010H-223ML,1,N/A,,wavenumber:L_DO5010H_800,,
"FID1,FID2,FID3",fiducial-1mm-2mm,fiducial-1mm-2mm,3,-,,wavenumber:fiducial-1mm-2mm,,
D1,BZX84B30-7-F,BZX84B30-7-F,1,N/A,,wavenumber:D_SOT-23-3_P,,
"D7,D8,D9",BZT52C5V6-7-F,BZT52C5V6-7-F,3,N/A,,wavenumber:D_SOD-123_P,,
C3,22µF,GCJ32ER71C226KE01L,1,N/A,,wavenumber:C1210_2.80MM_MD,,
C1,10µF,GCM32EC71H106KA03K,1,N/A,,wavenumber:C1210_2.70MM_MD,,
"C6,C7",10µF,CGA5L1X7R1V106K160AC,2,N/A,,wavenumber:C1206_1.80MM_MD,,
C2,0.47µF,GCJ21BR71H474KA12L,1,N/A,,wavenumber:C0805_1.45MM_MD,,
C4,330pF,GCM21A7U2E331JX01D,1,N/A,,wavenumber:C0805_1.00MM_MD,,
C11,1µF,GCJ188R71E105KA01D,1,N/A,,wavenumber:C0603_0.90MM_MD,,
"C5,C8,C9,C10,C12,C13,C14",0.1µF,GCJ188R71C104KA01D,7,C710619,,wavenumber:C0603_0.90MM_MD,,
"J2,J3",1711725,1711725,2,N/A,,wavenumber:1711725,,
U4,SN74HC164PWR,SN74HC164PWR,1,C406867,,autonav_fp:SN74HC164PWR,,
U2,SGM61410XN6G_TR,SGM61410XN6G_TR,1,C699689,,autonav_fp:SGM61410XN6G_TR,,
U3,INA226,INA226,1,N/A,https://www.ti.com/product/INA226,autonav_fp:INA226,,
U1,BQ34Z100-R2,BQ34Z100-R2,1,N/A,https://www.ti.com/product/BQ34Z100-R2,autonav_fp:BQ34Z100-R2,,